indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
————————————,10878,species,349723,A.Carpomys phaeurus,349723,B.Carpomys phaeurus,=,,,,canonicalName,,tip
———————————,10879,genus,442565,A.Chiruromys,,,,,,,,,
———————————,10881,genus,442567,A.Coccymys,,,,,,,,,
———————————,10883,genus,442569,A.Crossomys,,,,,,,,,
————————————,10884,species,442570,A.Crossomys moncktoni,442570,B.Crossomys moncktoni,=,,,,canonicalName,,tip
———————————,10885,genus,442571,A.Leptomys,,,,,,,,,
————————————,10886,species,442572,A.Leptomys elegans,442572,B.Leptomys elegans,=,,,,canonicalName,,tip
———————————,10887,genus,442575,A.Lorentzimys,,,,,,,,,
————————————,10888,species,442576,A.Lorentzimys nouhuysi,442576,B.Lorentzimys nouhuysi,=,,,,canonicalName,,tip
———————————,10889,genus,442577,A.Macruromys,,,,,,,,,
————————————,10890,species,442578,A.Macruromys major,442578,B.Macruromys major,=,,,,canonicalName,,tip
———————————,10891,genus,442579,A.Mallomys,442579,B.Mallomys,=,,,,canonicalName,number_of_children,
————————————,10892,species,442580,A.Mallomys aroensis,442580,B.Mallomys aroensis,=,,,,canonicalName,,tip
————————————,10893,species,442581,A.Mallomys rothschildi,442581,B.Mallomys rothschildi,=,,,,canonicalName,,tip
————————————,10894,species,,,2303640,B.Mallomys istapantap,,,,,,,
———————————,10895,genus,442582,A.Mammelomys,442582,B.Mammelomys,=,,,,canonicalName,,subtree=
———————————,10898,genus,442591,A.Parahydromys,,,,,,,,,
———————————,10900,genus,442593,A.Paramelomys,442593,B.Paramelomys,=,,,,scientificName,,
————————————,10901,species,442594,A.Paramelomys levipes,442594,B.Paramelomys levipes,=,,,,canonicalName,,tip
————————————,10902,species,442595,A.Paramelomys platyops,442595,B.Paramelomys platyops,=,,,,canonicalName,,tip
————————————,10903,species,442596,A.Paramelomys rubex,442596,B.Paramelomys rubex,=,,,,canonicalName,,tip
————————————,10904,species,491863,A.Paramelomys lorentzii,491863,B.Paramelomys lorentzii,=,,,,canonicalName,,tip
————————————,10905,species,1078247,A.Paramelomys moncktoni,1078247,B.Paramelomys moncktoni,=,,,,scientificName,,tip
———————————,10906,genus,442597,A.Pogonomelomys,,,,,,,,,
